[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000341454887383 -  17.5s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00063095734448 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00063095734448 -  21.0s
[CV] kernel=rbf, C=18.4784979742, gamma=0.000857695898591 ............
[CV] ... kernel=rbf, C=18.4784979742, gamma=0.000857695898591 -  22.8s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00116591440118 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00116591440118 -  24.1s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00215443469003 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00215443469003 -  33.9s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00292864456463 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00292864456463 -  42.3s
[CV] kernel=rbf, C=18.4784979742, gamma=0.00398107170553 .............
[CV] .... kernel=rbf, C=18.4784979742, gamma=0.00398107170553 -  51.7s
[CV] kernel=rbf, C=18.4784979742, gamma=0.0073564225446 ..............
[CV] ..... kernel=rbf, C=18.4784979742, gamma=0.0073564225446 - 1.3min
[CV] kernel=rbf, C=18.4784979742, gamma=0.01 .........................
[CV] ................ kernel=rbf, C=18.4784979742, gamma=0.01 - 1.4min
[CV] kernel=rbf, C=25.1188643151, gamma=0.000135935639088 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000135935639088 -  16.4s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000184784979742 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000184784979742 -  17.1s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000341454887383 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000341454887383 -  18.0s
[CV] kernel=rbf, C=25.1188643151, gamma=0.000464158883361 ............
[CV] ... kernel=rbf, C=25.1188643151, gamma=0.000464158883361 -  19.4s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00063095734448 .............
[CV] .... kernel=rbf, C=25.1188643151, gamma=0.00063095734448 -  20.2s
[CV] kernel=rbf, C=25.1188643151, gamma=0.00116591440118 .............
